date,open,high,low,close,volume
2001-02-05,36415.5391,36502.4531,30592.5312,34764.2383,392863
2001-02-06,39978.875,39978.875,36589.3633,39022.8594,394301
2001-02-07,38675.2148,38675.2148,35285.7031,35372.6133,197064
2001-02-08,33026.0273,35459.5234,33026.0273,33634.4023,204670
2001-02-09,33026.0273,34590.418,33026.0273,33199.8477,167344
2001-02-12,32374.1973,33026.0273,31331.2715,31374.7266,212517
2001-02-13,30853.2617,31157.4492,27463.75,28506.6758,392150
2001-02-14,28506.6758,30157.9785,28159.0332,28332.8555,215462
2001-02-15,28419.7656,29028.1406,26768.4648,27376.8379,249233
2001-02-16,27463.75,28072.123,26551.1875,26855.375,226197
2001-02-19,26594.6426,27681.0254,26507.7324,26638.0977,178804
2001-02-20,27463.75,30592.5312,27376.8379,30592.5312,535055
2001-02-21,29984.1562,29984.1562,27550.6602,27898.3027,281104
2001-02-22,27767.9355,29549.6035,27029.1953,29115.0508,255872
2001-02-23,28419.7656,29245.416,28332.8555,28593.5859,99792
2001-02-26,28419.7656,29506.1484,28289.4004,28810.8633,77458
2001-02-27,28810.8633,29201.9609,27463.75,27811.3906,102127
2001-02-28,27637.5703,28680.498,27203.0176,28680.498,90909
2001-03-01,28680.498,28680.498,28680.498,28680.498,0
2001-03-02,27898.3027,29115.0508,27898.3027,27985.2129,75307
2001-03-05,28072.123,28680.498,27507.2051,28506.6758,69945
2001-03-06,29115.0508,31287.8145,28854.3184,29636.5137,483577
2001-03-07,30071.0664,30505.6191,28767.4082,29028.1406,267021
2001-03-08,28854.3184,29288.8711,28854.3184,29201.9609,92888
2001-03-09,29201.9609,30853.2617,28245.9453,30157.9785,233354
2001-03-12,29375.7832,30505.6191,28941.2285,29028.1406,117879
2001-03-13,27898.3027,28419.7656,27289.9277,28245.9453,100540
2001-03-14,28245.9453,28245.9453,28245.9453,28245.9453,0
2001-03-15,27550.6602,28984.6836,27550.6602,28723.9531,79702
2001-03-16,28723.9531,29375.7832,28593.5859,28810.8633,76365
2001-03-19,28680.498,29636.5137,28637.043,29201.9609,81819
2001-03-20,29549.6035,30592.5312,29288.8711,29984.1562,176365
2001-03-21,29636.5137,31592.002,29549.6035,30983.6289,266239
2001-03-22,31287.8145,35589.8906,31287.8145,35589.8906,655604
2001-03-23,36372.0859,38457.9414,34329.6875,34503.5078,774036
2001-03-26,35980.9883,38501.3945,35807.168,36763.1836,343490
2001-03-27,36937.0039,42238.5508,36937.0039,40152.6953,1016630
2001-03-28,40934.8906,41717.0859,37719.1992,38544.8516,333779
2001-03-29,38544.8516,41673.6328,38544.8516,41282.5352,470379
2001-03-30,42325.4609,43368.3867,41847.4531,42760.0156,511318
2001-04-02,43281.4766,43281.4766,41108.7148,42586.1914,249578
2001-04-03,41108.7148,42325.4609,40413.4297,41630.1758,196201
2001-04-04,40065.7852,41543.2656,39544.3203,39544.3203,131341
2001-04-05,39544.3203,39544.3203,39544.3203,39544.3203,0
2001-04-06,41456.3555,45454.2422,41282.5352,45454.2422,491102
2001-04-09,46931.7227,50408.1484,46236.4375,48756.8438,464063
2001-04-10,49539.043,50234.3242,46584.082,47887.7383,193290
2001-04-11,49365.2188,49886.6836,47105.543,48235.3828,172775
2001-04-12,47105.543,53797.6602,45801.8867,50581.9688,347840
2001-04-13,50581.9688,52754.7344,49191.3984,50234.3242,183498
2001-04-16,50408.1484,51972.5391,49452.1289,49539.043,77596
2001-04-17,49539.043,50668.8789,47800.8281,48235.3828,114807
2001-04-18,48496.1133,49104.4883,46931.7227,48235.3828,154377
2001-04-19,50755.7891,51624.8945,47627.0078,47887.7383,348898
2001-04-20,47887.7383,48409.2031,45541.1523,46757.9023,183729
2001-04-23,46062.6172,48235.3828,45888.7969,46844.8125,148946
2001-04-24,46062.6172,49539.043,46062.6172,47366.2773,183050
2001-04-25,48669.9336,49017.5781,47018.6328,47105.543,113944
2001-04-26,48669.9336,49017.5781,47018.6328,47105.543,113944
2001-04-27,47105.543,53276.1953,46931.7227,52146.3594,308903
2001-04-30,52233.2695,54406.0352,51277.2539,52146.3594,161027
2001-05-01,52146.3594,52146.3594,52146.3594,52146.3594,0
2001-05-02,52754.7344,55970.4258,52754.7344,53189.2852,231398
2001-05-03,53276.1953,56318.0664,53276.1953,54753.6758,213897
2001-05-04,53884.5703,53884.5703,51885.6289,53276.1953,156367
2001-05-07,53276.1953,53276.1953,53276.1953,53276.1953,0
2001-05-08,54145.3047,55275.1406,52580.9102,54145.3047,97513
2001-05-09,52754.7344,52754.7344,50842.6992,50842.6992,131928
2001-05-10,50408.1484,53450.0195,50408.1484,52407.0898,111528
2001-05-11,52146.3594,53276.1953,51364.1641,53189.2852,86134
2001-05-14,52928.5547,53884.5703,52580.9102,53102.375,54067
2001-05-15,53189.2852,54927.5,52841.6445,53102.375,85156
2001-05-16,53536.9297,53797.6602,51364.1641,51364.1641,94856
2001-05-17,52146.3594,52407.0898,50234.3242,50842.6992,112529
2001-05-18,50408.1484,53971.4805,50234.3242,53450.0195,153801
2001-05-21,54319.125,61445.793,52841.6445,61445.793,411388
2001-05-22,61445.793,62227.9883,57795.5469,59968.3125,209951
2001-05-23,60837.418,61706.5234,58403.9219,59273.0273,59440
2001-05-24,58403.9219,59186.1172,56665.7109,57969.3672,87100
2001-05-25,59099.207,59446.8477,56491.8906,57360.9961,102852
2001-05-28,57360.9961,58403.9219,56491.8906,56752.6211,49234
2001-05-29,56926.4414,61185.0625,56926.4414,58230.1016,173028
2001-05-30,58317.0117,62227.9883,58317.0117,60837.418,203484
2001-05-31,59099.207,62836.3633,59099.207,61793.4336,127303
2001-06-01,61706.5234,61706.5234,59273.0273,60402.8672,59083
2001-06-04,59620.6719,59968.3125,58317.0117,59273.0273,86295
2001-06-05,62141.0781,62575.6289,59099.207,59273.0273,100137
2001-06-06,59273.0273,59273.0273,59273.0273,59273.0273,0
2001-06-07,59794.4922,65878.2344,59533.7617,64313.8438,245988
2001-06-08,65791.3203,73960.9219,65182.9492,73960.9219,361221
2001-06-11,72135.7969,74916.9375,70832.1406,72135.7969,183775
2001-06-12,71266.6875,71353.6016,68485.5547,69007.0156,133700
2001-06-13,69528.4766,76481.3281,69528.4766,72135.7969,177147
2001-06-14,74743.1172,75264.5781,72396.5312,72831.0781,100137
2001-06-15,71701.2422,78045.7188,71701.2422,75264.5781,111045
2001-06-18,75264.5781,83868.7266,74395.4688,77263.5234,222389
2001-06-19,77089.7031,80826.8594,74916.9375,75438.3984,128292
2001-06-20,73874.0078,74656.2031,70571.4062,73091.8125,185477
2001-06-21,72309.6172,73874.0078,69180.8359,70832.1406,187652
2001-06-22,70832.1406,73874.0078,70832.1406,73874.0078,134333
2001-06-25,74308.5625,79088.6406,73960.9219,78219.5391,142203
2001-06-26,77784.9844,78219.5391,71266.6875,72135.7969,135069
2001-06-27,71266.6875,71266.6875,62836.3633,66052.0547,225714
2001-06-28,62836.3633,69528.4766,62836.3633,67355.7109,202035
2001-06-29,68746.2812,70310.6719,68659.375,69267.75,99826
2001-07-02,67790.2656,71788.1562,67529.5312,71092.8672,87699
2001-07-03,71353.6016,71875.0625,69528.4766,70136.8516,48808
2001-07-04,69528.4766,71701.2422,67181.8906,71527.4219,54044
2001-07-05,70832.1406,72309.6172,69702.2969,69789.2109,37394
2001-07-06,68224.8203,69007.0156,68051.0,68311.7266,25854
2001-07-09,66921.1641,67268.8047,62575.6289,64313.8438,71855
2001-07-10,64313.8438,65965.1406,63531.6484,65182.9492,60924
2001-07-11,62749.4531,67355.7109,62662.543,66834.25,69024
2001-07-12,67964.0859,69093.9219,67442.625,67790.2656,92612
2001-07-13,68746.2812,69528.4766,65443.6797,67529.5312,41065
2001-07-16,67529.5312,70832.1406,66921.1641,67529.5312,51006
2001-07-17,67529.5312,67529.5312,67529.5312,67529.5312,0
2001-07-18,67877.1797,68572.4609,66486.6094,67355.7109,33701
2001-07-19,66138.9688,67268.8047,64313.8438,64835.3047,39684
2001-07-20,64313.8438,65617.5,62575.6289,62575.6289,37659
2001-07-23,62575.6289,63010.1836,55101.3203,55448.9609,64180
2001-07-24,52754.7344,59533.7617,50842.6992,58490.832,75180
2001-07-25,58230.1016,60489.7773,57795.5469,58230.1016,33597
2001-07-26,56491.8906,61271.9727,56491.8906,60837.418,32907
2001-07-27,61706.5234,62314.8984,59533.7617,60142.1328,76296
2001-07-30,61271.9727,61271.9727,59099.207,59446.8477,50201
2001-07-31,59968.3125,62141.0781,59099.207,60663.5977,59175
2001-08-01,60837.418,63966.1992,60837.418,63357.8281,90541
2001-08-02,63792.3789,64226.9336,61358.8828,61706.5234,56540
2001-08-03,60924.3281,62488.7188,60576.6875,60924.3281,36830
2001-08-06,59533.7617,61880.3477,59533.7617,61098.1523,30859
2001-08-07,60837.418,61793.4336,60576.6875,61706.5234,42181
2001-08-08,61185.0625,62401.8086,61098.1523,61271.9727,21838
2001-08-09,60055.2227,61706.5234,60055.2227,61098.1523,23472
2001-08-10,60837.418,61793.4336,60055.2227,60489.7773,20618
2001-08-13,62575.6289,66052.0547,61358.8828,63270.9141,59187
2001-08-14,62575.6289,63879.2891,62054.168,63357.8281,39880
2001-08-15,63357.8281,63357.8281,63357.8281,63357.8281,0
2001-08-16,63010.1836,63097.0938,60402.8672,60837.418,89482
2001-08-17,60837.418,61706.5234,59099.207,59273.0273,54918
2001-08-20,60837.418,64226.9336,57447.9062,57708.6367,217165
2001-08-21,59099.207,60402.8672,57621.7266,59012.2969,132158
2001-08-22,57795.5469,58230.1016,55883.5156,55970.4258,183924
2001-08-23,57360.9961,58577.7422,53102.375,53623.8398,199826
2001-08-24,53710.75,54666.7656,49625.9531,50929.6094,179483
2001-08-27,50929.6094,53102.375,48235.3828,52320.1797,312608
2001-08-28,50929.6094,52580.9102,50668.8789,50842.6992,86675
2001-08-29,49191.3984,50495.0586,43889.8516,44237.4961,260371
2001-08-30,42673.1055,46497.1719,42499.2812,45454.2422,180173
2001-08-31,43455.3008,48235.3828,43281.4766,47540.0977,262004
2001-09-03,47887.7383,49886.6836,47887.7383,49017.5781,172361
2001-09-04,49973.5938,50668.8789,49365.2188,49539.043,119352
2001-09-05,49539.043,49973.5938,47453.1875,47627.0078,67839
2001-09-06,47627.0078,49365.2188,46757.9023,49365.2188,190540
2001-09-07,49365.2188,53015.4648,47887.7383,52407.0898,227797
2001-09-10,52146.3594,56057.3359,50842.6992,53797.6602,226577
2001-09-11,53450.0195,54492.9453,49104.4883,50060.5039,175490
2001-09-12,42586.1914,42586.1914,42586.1914,42586.1914,43021
2001-09-13,40413.4297,46584.082,40413.4297,46236.4375,181025
2001-09-14,44845.8672,46844.8125,40847.9805,42021.2734,117131
2001-09-17,40413.4297,42151.6406,37545.3789,41021.8008,172188
