date,open,high,low,close,volume
2022-11-25,2442.21,2449.6599,2433.5701,2437.8601,438400
2022-11-28,2425.05,2425.6499,2401.95,2408.27,350100
2022-11-29,2405.54,2433.8701,2401.1001,2433.3899,550000
2022-11-30,2424.4399,2472.53,2421.4199,2472.53,593900
2022-12-01,2501.4299,2501.4299,2474.3301,2479.8401,491200
2022-12-02,2471.5,2471.5,2434.3301,2434.3301,468500
2022-12-05,2442.1699,2442.22,2413.05,2419.3201,385200
2022-12-06,2397.7,2416.8799,2390.2,2393.1599,367800
2022-12-07,2385.8701,2394.8799,2377.98,2382.8101,332100
2022-12-08,2386.8999,2387.95,2357.2,2371.0801,351600
2022-12-09,2382.73,2390.0801,2367.25,2389.04,315300
2022-12-12,2373.5801,2381.8701,2368.47,2373.02,498900
2022-12-13,2385.05,2388.27,2364.8701,2372.3999,447100
2022-12-14,2380.8101,2400.1799,2379.4399,2399.25,409400
2022-12-15,2383.8301,2392.1101,2360.95,2360.97,374300
2022-12-16,2329.75,2360.4399,2326.8301,2360.02,414200
2022-12-19,2350.78,2358.76,2342.28,2352.1699,323600
2022-12-20,2344.73,2353.8601,2324.6599,2333.29,358100
2022-12-21,2346.3899,2347.0,2325.78,2328.95,329400
2022-12-22,2340.0,2356.73,2335.75,2356.73,552800
2022-12-23,2325.8601,2333.0801,2311.8999,2313.6899,367000
2022-12-26,2312.54,2321.9199,2304.2,2317.1399,427600
2022-12-27,2327.52,2335.99,2321.48,2332.79,448300
2022-12-28,2296.45,2296.45,2276.8999,2280.45,405700
2022-12-29,2265.73,2272.6699,2236.3799,2236.3999,361000
2023-01-02,2249.95,2259.8799,2222.3701,2225.6699,346100
2023-01-03,2230.98,2230.98,2180.6699,2218.6799,410000
2023-01-04,2205.98,2260.0601,2198.8201,2255.98,412700
2023-01-05,2268.2,2281.3899,2252.97,2264.6499,430800
2023-01-06,2253.3999,2300.6201,2253.27,2289.97,398300
2023-01-09,2315.8701,2351.0601,2312.5601,2350.1899,341100
2023-01-10,2348.04,2370.1799,2344.1799,2351.3101,359600
2023-01-11,2364.05,2369.6599,2350.3601,2359.53,368800
2023-01-12,2376.72,2377.8,2358.3301,2365.1001,580100
2023-01-13,2377.3401,2397.01,2375.78,2386.0901,861700
2023-01-16,2390.0601,2410.22,2387.6101,2399.8601,517800
2023-01-17,2400.9199,2404.0,2374.6499,2379.3899,536000
2023-01-18,2380.3601,2383.0,2356.8401,2368.3201,536200
2023-01-19,2354.5601,2380.3401,2354.5601,2380.3401,369900
2023-01-20,2380.0,2395.97,2372.5701,2395.26,302300
2023-01-25,2426.5801,2432.71,2421.51,2428.5701,549800
2023-01-26,2436.1799,2468.6499,2426.3999,2468.6499,486600
2023-01-27,2474.52,2497.3999,2464.53,2484.02,509100
2023-01-30,2484.6399,2491.1299,2446.5901,2450.47,475100
2023-01-31,2449.9199,2457.48,2423.3701,2425.0801,616900
2023-02-01,2446.03,2453.29,2433.3701,2449.8,666100
2023-02-02,2481.9399,2486.2,2454.6001,2468.8799,692800
2023-02-03,2466.54,2485.0801,2460.21,2480.3999,496600
2023-02-06,2461.8201,2469.4199,2438.04,2438.1899,566600
2023-02-07,2440.1399,2456.1699,2432.3999,2451.71,446600
2023-02-08,2469.4199,2487.3501,2465.96,2483.6399,414800
2023-02-09,2470.6599,2487.1399,2466.6101,2481.52,609400
2023-02-10,2470.6499,2473.8,2454.74,2469.73,656900
2023-02-13,2461.96,2462.5801,2440.8601,2452.7,485500
2023-02-14,2471.3301,2480.3401,2459.8301,2465.6399,348800
2023-02-15,2473.0901,2473.4399,2424.1599,2427.8999,386500
2023-02-16,2444.0601,2475.99,2442.0701,2475.48,387600
2023-02-17,2447.6599,2471.51,2445.74,2451.21,513600
2023-02-20,2453.25,2463.1699,2430.27,2455.1201,390000
2023-02-21,2457.51,2466.0701,2446.0,2458.96,494300
2023-02-22,2430.8701,2435.98,2416.1599,2417.6799,426700
2023-02-23,2430.01,2449.6201,2422.6201,2439.0901,400300
2023-02-24,2442.49,2452.97,2421.47,2423.6101,369200
2023-02-27,2405.4199,2405.5601,2383.76,2402.6399,356700
2023-02-28,2417.5801,2431.6699,2407.29,2412.8501,529200
2023-03-02,2414.6101,2440.5901,2411.8501,2427.8501,427900
2023-03-03,2438.73,2442.1001,2423.0801,2432.0701,371500
2023-03-06,2452.46,2464.45,2441.0701,2462.6201,417900
