date,close
1993-12-03,1023.92
1993-12-06,1041.11
1993-12-07,1063.25
1993-12-08,1060.79
1993-12-09,1067.34
1993-12-10,1075.85
1993-12-13,1090.35
1993-12-14,1092.66
1993-12-15,1116.09
1993-12-16,1112.59
1993-12-17,1109.53
1993-12-20,1098.08
1993-12-21,1096.61
1993-12-22,1121.38
1993-12-23,1152.24
1993-12-24,1178.46
1993-12-27,1205.28
1993-12-28,1223.05
1993-12-29,1231.86
1993-12-30,1231.73
1993-12-31,1275.3199
1994-01-03,1288.85
1994-01-04,1313.35
1994-01-05,1314.46
1994-01-06,1248.6899
1994-01-07,1190.73
1994-01-10,1206.75
1994-01-11,1139.55
1994-01-12,1066.22
1994-01-13,1029.17
1994-01-14,1134.14
1994-01-17,1104.14
1994-01-18,1110.22
1994-01-19,1081.78
1994-01-20,1053.21
1994-01-21,1063.76
1994-01-24,1064.55
1994-01-25,1011.8
1994-01-26,1029.3101
1994-01-27,1074.24
1994-01-28,1090.0601
1994-01-31,1106.99
1994-02-02,1148.04
1994-02-03,1150.21
1994-02-04,1147.3199
1994-02-07,1094.02
1994-02-08,1108.72
1994-02-14,1093.3
1994-02-15,1087.21
1994-02-16,1081.13
1994-02-17,1072.14
1994-02-18,1086.73
1994-02-21,1086.91
1994-02-22,1104.45
1994-02-23,1141.05
1994-02-24,1146.41
1994-02-25,1124.11
1994-02-28,1125.63
1994-03-01,1113.41
1994-03-02,1086.25
1994-03-03,1070.58
1994-03-04,1064.34
1994-03-07,1045.72
1994-03-08,1056.3
1994-03-09,1056.4301
1994-03-10,1046.0
1994-03-11,1046.48
1994-03-17,1027.2
1994-03-18,1007.06
1994-03-21,954.18
1994-03-22,967.48
1994-03-23,999.95
1994-03-24,983.52
1994-03-25,970.1
1994-03-28,951.43
1994-03-29,961.78
1994-03-30,966.77
1994-03-31,952.72
1994-04-01,959.94
1994-04-04,928.33
1994-04-05,939.31
1994-04-06,964.51
1994-04-07,966.18
1994-04-08,961.95
1994-04-11,973.34
1994-04-12,1024.8199
1994-04-13,1029.45
1994-04-14,1021.3
1994-04-15,1033.66
1994-04-18,1050.26
1994-04-19,1036.04
1994-04-20,1039.66
1994-04-21,1028.91
1994-04-22,1038.87
1994-04-25,1059.52
1994-04-26,1053.47
1994-04-27,1053.35
1994-04-28,1055.34
1994-04-29,1054.5
1994-05-03,1042.02
1994-05-04,1028.25
1994-05-05,1007.01
1994-05-06,1011.57
1994-05-09,990.63
1994-05-10,999.48
1994-05-11,1008.67
1994-05-12,996.92
1994-05-13,1004.55
1994-05-16,997.84
1994-05-17,991.96
1994-05-18,1010.27
1994-05-19,1002.98
1994-05-20,1001.16
1994-05-23,999.1
1994-05-24,987.26
1994-05-26,997.05
1994-05-27,1000.11
1994-05-30,996.11
1994-05-31,993.73
1994-06-01,982.8
1994-06-02,955.44
1994-06-03,965.49
1994-06-06,970.06
1994-06-07,972.42
1994-06-08,969.31
1994-06-09,981.72
1994-06-10,1016.98
1994-06-13,1017.93
1994-06-14,1013.49
1994-06-15,1028.95
1994-06-16,1032.39
1994-06-17,1038.04
1994-06-20,1035.46
1994-06-21,1011.46
1994-06-22,1015.43
1994-06-23,1003.5
1994-06-24,1015.03
1994-06-27,1003.52
1994-06-28,1006.92
1994-06-29,1010.11
1994-06-30,1011.58
