date,close
2001-02-05,34764.2383
2001-02-06,39022.8594
2001-02-07,35372.6133
2001-02-08,33634.4023
2001-02-09,33199.8477
2001-02-12,31374.7266
2001-02-13,28506.6758
2001-02-14,28332.8555
2001-02-15,27376.8379
2001-02-16,26855.375
2001-02-19,26638.0977
2001-02-20,30592.5312
2001-02-21,27898.3027
2001-02-22,29115.0508
2001-02-23,28593.5859
2001-02-26,28810.8633
2001-02-27,27811.3906
2001-02-28,28680.498
2001-03-01,28680.498
2001-03-02,27985.2129
2001-03-05,28506.6758
2001-03-06,29636.5137
2001-03-07,29028.1406
2001-03-08,29201.9609
2001-03-09,30157.9785
2001-03-12,29028.1406
2001-03-13,28245.9453
2001-03-14,28245.9453
2001-03-15,28723.9531
2001-03-16,28810.8633
2001-03-19,29201.9609
2001-03-20,29984.1562
2001-03-21,30983.6289
2001-03-22,35589.8906
2001-03-23,34503.5078
2001-03-26,36763.1836
2001-03-27,40152.6953
2001-03-28,38544.8516
2001-03-29,41282.5352
2001-03-30,42760.0156
2001-04-02,42586.1914
2001-04-03,41630.1758
2001-04-04,39544.3203
2001-04-05,39544.3203
2001-04-06,45454.2422
2001-04-09,48756.8438
2001-04-10,47887.7383
2001-04-11,48235.3828
2001-04-12,50581.9688
2001-04-13,50234.3242
2001-04-16,49539.043
2001-04-17,48235.3828
2001-04-18,48235.3828
2001-04-19,47887.7383
2001-04-20,46757.9023
2001-04-23,46844.8125
2001-04-24,47366.2773
2001-04-25,47105.543
2001-04-26,47105.543
2001-04-27,52146.3594
2001-04-30,52146.3594
2001-05-01,52146.3594
2001-05-02,53189.2852
2001-05-03,54753.6758
2001-05-04,53276.1953
2001-05-07,53276.1953
2001-05-08,54145.3047
2001-05-09,50842.6992
2001-05-10,52407.0898
2001-05-11,53189.2852
2001-05-14,53102.375
2001-05-15,53102.375
2001-05-16,51364.1641
2001-05-17,50842.6992
2001-05-18,53450.0195
2001-05-21,61445.793
2001-05-22,59968.3125
2001-05-23,59273.0273
2001-05-24,57969.3672
2001-05-25,57360.9961
2001-05-28,56752.6211
2001-05-29,58230.1016
2001-05-30,60837.418
2001-05-31,61793.4336
2001-06-01,60402.8672
2001-06-04,59273.0273
2001-06-05,59273.0273
2001-06-06,59273.0273
2001-06-07,64313.8438
2001-06-08,73960.9219
2001-06-11,72135.7969
2001-06-12,69007.0156
2001-06-13,72135.7969
2001-06-14,72831.0781
2001-06-15,75264.5781
2001-06-18,77263.5234
2001-06-19,75438.3984
2001-06-20,73091.8125
2001-06-21,70832.1406
2001-06-22,73874.0078
2001-06-25,78219.5391
2001-06-26,72135.7969
2001-06-27,66052.0547
2001-06-28,67355.7109
2001-06-29,69267.75
2001-07-02,71092.8672
2001-07-03,70136.8516
2001-07-04,71527.4219
2001-07-05,69789.2109
2001-07-06,68311.7266
2001-07-09,64313.8438
2001-07-10,65182.9492
2001-07-11,66834.25
2001-07-12,67790.2656
2001-07-13,67529.5312
2001-07-16,67529.5312
2001-07-17,67529.5312
2001-07-18,67355.7109
2001-07-19,64835.3047
2001-07-20,62575.6289
2001-07-23,55448.9609
2001-07-24,58490.832
2001-07-25,58230.1016
2001-07-26,60837.418
2001-07-27,60142.1328
2001-07-30,59446.8477
2001-07-31,60663.5977
2001-08-01,63357.8281
2001-08-02,61706.5234
2001-08-03,60924.3281
2001-08-06,61098.1523
2001-08-07,61706.5234
2001-08-08,61271.9727
2001-08-09,61098.1523
2001-08-10,60489.7773
2001-08-13,63270.9141
2001-08-14,63357.8281
2001-08-15,63357.8281
2001-08-16,60837.418
2001-08-17,59273.0273
2001-08-20,57708.6367
2001-08-21,59012.2969
2001-08-22,55970.4258
2001-08-23,53623.8398
2001-08-24,50929.6094
2001-08-27,52320.1797
2001-08-28,50842.6992
2001-08-29,44237.4961
2001-08-30,45454.2422
2001-08-31,47540.0977
