date,close
2013-09-17,1123.38
2013-09-20,1123.38
2013-09-23,1137.66
2013-09-24,1135.8199
2013-09-27,1135.8199
2013-09-30,1142.51
2013-10-01,1150.47
2013-10-02,1148.53
2013-10-03,1136.91
2013-10-04,1136.91
2013-10-07,1154.53
2013-10-08,1158.74
2013-10-09,1160.3101
2013-10-10,1167.64
2013-10-11,1167.35
2013-10-14,1167.33
2013-10-15,1171.25
2013-10-16,1175.61
2013-10-17,1170.39
2013-10-21,1177.9399
2013-10-22,1182.41
2013-10-23,1167.47
2013-10-24,1164.8101
2013-10-28,1164.14
2013-10-29,1166.6801
2013-10-30,1158.13
2013-10-31,1160.4399
2013-11-04,1174.76
2013-11-05,1172.27
2013-11-06,1179.21
2013-11-07,1185.84
2013-11-11,1190.65
2013-11-12,1188.23
2013-11-13,1185.0699
2013-11-14,1192.1
2013-11-18,1204.6801
2013-11-19,1204.5601
2013-11-20,1213.26
2013-11-21,1212.96
2013-11-25,1217.0601
2013-11-26,1213.3
2013-11-27,1216.0601
2013-11-28,1218.4301
2013-12-02,1229.72
2013-12-03,1222.1801
2013-12-04,1216.5699
2013-12-05,1222.38
2013-12-09,1220.61
2013-12-10,1210.1801
2013-12-11,1202.51
2013-12-12,1185.4
2013-12-16,1190.62
2013-12-17,1189.3199
2013-12-18,1196.3199
2013-12-19,1193.9301
2013-12-23,1216.98
2013-12-24,1211.4
2013-12-26,1207.3101
2013-12-30,1200.3
2013-12-31,1206.8
2014-01-01,1218.96
2014-01-02,1207.49
2014-01-06,1206.46
2014-01-07,1218.35
2014-01-08,1219.27
2014-01-09,1218.64
2014-01-13,1233.14
2014-01-14,1230.6899
2014-01-15,1245.01
2014-01-16,1242.9
2014-01-20,1221.1
2014-01-21,1229.01
2014-01-22,1226.84
2014-01-23,1219.73
2014-01-27,1207.4
2014-01-28,1209.12
2014-01-29,1203.12
2014-01-30,1200.63
2014-02-03,1198.15
2014-02-04,1197.76
2014-02-05,1198.71
2014-02-06,1206.17
2014-02-10,1203.76
2014-02-11,1208.78
2014-02-12,1211.5601
2014-02-13,1209.14
2014-02-17,1220.11
2014-02-18,1221.85
2014-02-19,1223.88
2014-02-20,1224.02
2014-02-24,1236.47
2014-02-25,1239.77
2014-02-26,1251.91
2014-02-27,1253.5601
2014-03-03,1251.9
2014-03-04,1266.64
2014-03-05,1269.9399
2014-03-06,1272.28
2014-03-10,1266.14
2014-03-11,1271.4301
2014-03-12,1265.73
2014-03-13,1266.6
2014-03-17,1271.73
2014-03-18,1274.96
2014-03-19,1282.51
2014-03-20,1278.4399
2014-03-24,1271.0
2014-03-25,1282.76
2014-03-26,1287.61
2014-03-27,1281.12
2014-03-31,1282.22
2014-04-01,1294.45
2014-04-02,1298.55
2014-04-03,1301.05
2014-04-07,1297.59
2014-04-08,1280.47
2014-04-09,1289.5601
2014-04-10,1288.98
2014-04-16,1269.78
2014-04-17,1261.4399
2014-04-22,1281.2
2014-04-23,1271.59
2014-04-24,1264.17
2014-04-28,1261.3101
2014-04-29,1255.84
2014-04-30,1250.02
2014-05-01,1252.52
2014-05-07,1234.5601
2014-05-08,1237.0601
2014-05-12,1242.42
2014-05-13,1253.14
2014-05-14,1252.5601
2014-05-15,1247.09
2014-05-19,1248.62
2014-05-20,1250.8199
2014-05-21,1251.59
2014-05-22,1252.3
2014-05-26,1267.52
2014-05-27,1265.3199
2014-05-28,1261.92
2014-05-29,1256.74
2014-06-02,1258.9301
2014-06-05,1260.0601
2014-06-09,1270.37
2014-06-10,1265.4
2014-06-11,1261.35
2014-06-12,1258.14
2014-06-13,1258.1
2014-06-16,1256.99
2014-06-17,1258.6
2014-06-18,1261.6
2014-06-19,1266.95
2014-06-23,1264.51
2014-06-24,1264.45
2014-06-25,1251.39
2014-06-26,1248.2
2014-06-30,1252.39
2014-07-01,1250.49
2014-07-02,1252.67
2014-07-03,1256.24
2014-07-07,1244.0
2014-07-08,1230.97
2014-07-09,1238.8199
2014-07-10,1233.65
2014-07-14,1255.79
2014-07-15,1258.55
2014-07-16,1261.15
2014-07-17,1260.62
2014-07-21,1252.3101
2014-07-22,1256.67
2014-07-23,1254.71
2014-07-24,1255.74
2014-07-28,1251.89
2014-07-29,1253.34
2014-07-30,1253.5699
2014-07-31,1246.2
2014-08-01,1246.1
2014-08-04,1247.71
2014-08-06,1238.41
