date,close
1990-04-06,641.269
1990-04-09,633.482
1990-04-10,632.086
1990-04-11,634.693
1990-04-12,639.614
1990-04-16,640.014
1990-04-17,641.873
1990-04-18,640.528
1990-04-19,643.906
1990-04-20,641.686
1990-04-23,643.91
1990-04-24,638.798
1990-05-01,639.01
1990-05-02,636.154
1990-05-03,642.16
1990-05-04,643.094
1990-05-07,641.946
1990-05-08,642.984
1990-05-09,645.012
1990-05-11,643.312
1990-05-14,638.922
1990-05-15,640.855
1990-05-16,639.337
1990-05-17,644.441
1990-05-21,647.216
1990-05-22,647.401
1990-05-23,646.247
1990-05-25,647.36
1990-05-28,640.13
1990-05-29,641.14
1990-05-30,640.58
1990-05-31,636.4
1990-06-01,635.02
1990-06-04,636.24
1990-06-05,637.08
1990-06-06,636.642
1990-06-07,636.0
1990-06-08,636.06
1990-06-11,634.76
1990-06-12,634.42
1990-06-13,631.38
1990-06-14,630.3
1990-06-15,628.28
1990-06-18,626.9
1990-06-19,621.79
1990-06-20,622.43
1990-06-21,622.98
1990-06-22,623.95
1990-06-25,626.14
1990-06-26,623.76
1990-06-27,627.1
1990-06-28,626.76
1990-06-29,624.32
1990-07-02,629.44
1990-07-03,629.7
1990-07-04,629.708
1990-07-05,627.423
1990-07-06,626.811
1990-07-09,623.298
1990-07-10,624.601
1990-07-11,627.469
1990-07-12,627.969
1990-07-13,630.021
1990-07-16,630.734
1990-07-17,629.531
1990-07-18,631.17
1990-07-19,629.473
1990-07-20,630.096
1990-07-24,625.906
1990-07-25,627.96
1990-07-26,626.0
1990-07-27,624.087
1990-07-30,619.662
1990-07-31,614.406
1990-08-01,611.981
1990-08-02,612.222
1990-08-03,613.494
1990-08-06,607.626
1990-08-07,603.124
1990-08-08,595.935
1990-08-09,593.473
1990-08-10,591.969
1990-08-13,590.011
1990-08-14,587.334
1990-08-15,584.156
1990-08-16,585.15
1990-08-20,583.471
1990-08-21,577.477
1990-08-22,573.298
1990-08-23,563.49
1990-08-24,551.782
1990-08-27,546.83
1990-08-28,556.337
1990-08-30,559.383
1990-08-31,571.02
1990-09-03,567.407
1990-09-04,562.336
1990-09-05,557.058
1990-09-06,557.147
1990-09-07,546.599
1990-09-11,541.87
1990-09-12,539.391
1990-09-13,530.423
1990-09-14,529.12
1990-09-17,523.114
1990-09-18,515.144
1990-09-19,507.072
1990-09-20,500.69
1990-09-21,500.299
1990-09-24,493.936
1990-09-25,477.378
1990-09-26,464.253
1990-09-27,454.512
1990-09-28,468.509
1990-10-01,468.5
1990-10-02,460.58
1990-10-03,456.901
1990-10-04,452.615
1990-10-05,450.058
1990-10-08,446.341
1990-10-09,441.766
1990-10-10,433.5
1990-10-11,428.56
1990-10-12,425.397
1990-10-15,419.243
1990-10-16,414.747
1990-10-17,407.543
1990-10-18,398.558
1990-10-19,396.981
1990-10-22,407.675
1990-10-23,405.112
1990-10-24,409.128
1990-10-25,417.576
1990-10-26,437.757
1990-10-29,453.229
1990-10-30,430.686
1990-10-31,416.489
1990-11-01,416.343
1990-11-02,419.732
1990-11-05,416.623
1990-11-06,415.081
1990-11-07,414.507
1990-11-08,412.826
1990-11-09,412.03
1990-11-12,408.968
1990-11-13,406.419
1990-11-14,402.51
1990-11-15,398.955
1990-11-16,398.521
1990-11-19,395.21
1990-11-20,391.794
1990-11-21,391.93
1990-11-22,390.042
1990-11-23,390.987
1990-11-26,389.658
1990-11-27,388.472
1990-11-28,387.377
1990-11-29,384.799
1990-11-30,382.203
1990-12-03,378.119
1990-12-04,376.287
1990-12-05,371.198
1990-12-06,380.968
1990-12-07,380.723
1990-12-10,378.582
1990-12-11,381.494
1990-12-12,383.657
1990-12-13,386.116
1990-12-14,390.414
1990-12-17,395.212
1990-12-18,398.216
1990-12-19,397.868
1990-12-20,398.241
1990-12-21,400.458
1990-12-26,403.843
1990-12-27,410.615
1990-12-28,417.788
1991-01-03,408.538
1991-01-04,408.491
1991-01-07,404.817
1991-01-08,401.647
1991-01-09,399.133
1991-01-10,397.383
1991-01-11,394.766
1991-01-14,391.17
1991-01-15,390.51
1991-01-16,389.224
1991-01-17,389.641
1991-01-18,393.19
1991-01-21,389.123
1991-01-22,387.467
1991-01-23,387.076
1991-01-24,384.98
1991-01-25,384.21
1991-01-28,384.836
1991-01-29,385.1
1991-01-30,384.404
1991-01-31,383.018
1991-02-01,383.626
1991-02-04,383.866
1991-02-05,382.783
1991-02-06,381.0
1991-02-07,382.298
1991-02-08,381.275
1991-02-11,381.23
1991-02-13,381.238
1991-02-14,382.439
1991-02-15,382.268
1991-02-18,385.401
