date,close,foreign_qty,organ_qty,indiv_qty,foreign_hold_pct
2026-04-22,92900,11414,-12759,1579,3.28
2026-04-23,92100,-16269,-13993,29747,3.25
2026-04-24,94100,86911,-3367,-82760,3.41
2026-04-27,101300,55921,99886,-154533,3.6
2026-04-28,100100,-83518,5107,78497,3.39
2026-04-29,102200,-71965,92830,-18655,3.37
2026-04-30,110200,-209042,-232206,453266,2.97
2026-05-04,107800,-142001,-79639,215588,2.76
2026-05-06,104700,-9270,-167924,176270,2.72
2026-05-07,99100,4104582,-1876269,342713,8.18
2026-05-08,101000,-566644,251127,305708,6.04
2026-05-11,104400,-77572,96902,-25509,5.89
2026-05-12,101200,-233888,86720,166791,5.56
2026-05-13,102600,-146201,65483,78453,5.32
2026-05-14,106800,-87357,71985,17946,5.19
2026-05-15,127400,370274,110312,-484730,5.95
2026-05-18,117900,-524699,-228950,743003,4.74
2026-05-19,100100,4173371,-3497319,878427,8.93
2026-05-20,95500,-368661,-9123,367674,8.35
2026-05-21,107600,158523,71807,-229617,8.53
2026-05-22,106600,-14241,75549,-64468,8.44
2026-05-26,106900,-96233,-9591,103220,8.1
2026-05-27,103000,19766,-34350,15953,8.13
2026-05-28,100400,-155597,-20059,175073,7.78
2026-05-29,106500,46495,59760,-106908,7.94
2026-06-01,138400,741633,31559,-770649,9.5
2026-06-02,166700,-727436,62982,656411,6.68
2026-06-04,157900,-90931,-18623,95427,6.44
2026-06-05,140300,1619826,-1526675,365790,7.98
2026-06-08,127200,-549120,-99594,632035,6.96
2026-06-09,116600,-138203,-4867,146433,6.62
2026-06-10,106600,25538,-6206,-21331,6.68
2026-06-11,109300,-473404,408046,62944,5.86
2026-06-12,110400,-138554,42220,98306,5.7
2026-06-15,111400,-105009,-14701,115817,5.43
2026-06-16,109000,-58483,-25826,85916,5.16
2026-06-17,106200,23637,-64915,44760,5.38
2026-06-18,102700,-17942,-56376,75466,5.37
2026-06-19,101800,67763,3936,-70869,5.63
2026-06-22,100400,21900,15192,-36426,5.74
2026-06-23,88800,34004,-17822,-17628,5.88
2026-06-24,95000,-10590,16936,-9296,5.91
2026-06-25,92300,-24703,-3958,33702,5.8
2026-06-26,85000,52258,-83703,30950,5.88
2026-06-29,91600,9791,78965,-88269,5.97
2026-06-30,90300,-57427,18551,39196,5.84
2026-07-01,89300,-19467,18498,-244,5.81
2026-07-02,83300,-2976,46222,-42701,5.81
2026-07-03,84600,11070,46460,-57631,5.83
2026-07-06,82500,10832,-8738,-2213,5.85
2026-07-07,78800,-55363,54219,611,5.82
2026-07-08,72500,109708,-3808,-106043,6.01
2026-07-09,70400,95283,-31312,-58854,6.16
2026-07-10,74500,38148,7091,-46296,6.16
2026-07-13,70100,-26901,11247,14876,5.83
2026-07-14,66700,-13533,9772,3968,5.82
2026-07-15,70600,73621,-10864,-63318,5.88
2026-07-16,67000,-7693,-38273,45862,5.89
2026-07-20,61800,-53427,429,52964,5.84
2026-07-21,63900,-5386,2531,28315,5.83
