date,close,foreign_qty,organ_qty,indiv_qty,foreign_hold_pct
2026-04-22,541000,-182427,-23893,207535,27.52
2026-04-23,532000,-161745,-106338,261397,27.41
2026-04-24,513000,-390723,-166003,573839,27.16
2026-04-27,524000,59149,60873,-121303,27.25
2026-04-28,555000,677404,215681,-893727,27.67
2026-04-29,556000,-210069,39534,159620,27.52
2026-04-30,531000,-412946,-99501,499357,27.26
2026-05-04,539000,24590,15010,-36860,27.29
2026-05-06,550000,280869,-76375,-196250,27.44
2026-05-07,572000,-59308,35844,17701,27.39
2026-05-08,613000,309580,439195,-745834,27.65
2026-05-11,646000,-7606,-3315,7558,27.61
2026-05-12,646000,-372688,-18439,386331,27.17
2026-05-13,710000,294396,331447,-650909,27.44
2026-05-14,712000,-519529,53642,462178,27.01
2026-05-15,700000,-285018,1418,280013,26.85
2026-05-18,663000,-209206,-169651,375387,26.73
2026-05-19,604000,-621315,-204603,812911,26.38
2026-05-20,592000,-58792,24770,47549,26.29
2026-05-21,666000,117767,89044,-222657,26.38
2026-05-22,655000,-176731,72357,102801,26.25
2026-05-26,689000,167193,80739,-235316,26.38
2026-05-27,681000,-332576,8519,325105,26.2
2026-05-28,677000,-526178,14849,490913,25.93
2026-05-29,723000,61545,307539,-376218,25.99
2026-06-01,750000,-158876,58848,81148,25.87
2026-06-02,729000,-176236,-155696,338505,25.72
2026-06-04,700000,-155017,-36816,196181,25.64
2026-06-05,700000,-175156,-56193,229235,25.52
2026-06-08,639000,-181142,-57213,233645,25.43
2026-06-09,639000,-192227,-152788,352025,25.43
2026-06-10,602000,-461572,-118919,574238,25.31
2026-06-11,597000,-277485,132227,152141,25.18
2026-06-12,607000,83179,-67415,-6622,25.23
2026-06-15,647000,177244,-47727,-127615,25.36
2026-06-16,640000,183503,-428703,256364,25.45
2026-06-17,618000,-230989,-229498,467507,25.31
2026-06-18,601000,-76285,-152977,228273,25.28
2026-06-19,613000,197666,-141398,-48783,25.38
2026-06-22,581000,-272235,-145566,418152,25.21
2026-06-23,511000,-273210,-103280,373659,25.06
2026-06-24,509000,-214973,24930,175467,25.01
2026-06-25,503000,-135803,-45667,181096,24.92
2026-06-26,480500,-32154,69980,-37738,24.91
2026-06-29,497000,-5935,-3428,6851,24.91
2026-06-30,495000,-75634,-24135,97894,24.81
2026-07-01,487500,-107513,-22379,128924,24.74
2026-07-02,482000,148426,98672,-240034,24.84
2026-07-03,492000,76257,52354,-123755,24.92
2026-07-06,502000,-15211,53728,-36659,24.87
2026-07-07,479500,-106673,24849,75849,24.8
2026-07-08,462500,160233,23578,-182038,24.9
2026-07-09,445500,6753,67202,-67448,24.92
2026-07-10,457500,136289,-27686,-106584,25.01
2026-07-13,444000,85452,25664,-107436,25.07
2026-07-14,424500,6835,88448,-73714,25.08
2026-07-15,434000,72920,-71128,265,25.13
2026-07-16,425000,102350,-62955,-37521,25.17
2026-07-20,399000,-88385,104223,-17564,25.09
2026-07-21,399000,-41054,-14395,58096,25.07
2026-07-22,418000,107658,27289,-135277,25.15
2026-07-23,432000,48177,-37299,-9635,25.15
2026-07-24,401000,-191290,-185803,371096,25.0
2026-07-27,403000,-38478,9453,30229,24.96
2026-07-28,364000,-164263,-5205,169332,24.85
2026-07-29,353500,143339,158267,-294373,24.93
2026-07-30,351000,73521,-9389,-62913,24.97
2026-07-31,388000,110551,-111934,-2516,25.05
2026-08-03,393000,90752,-67439,-16567,25.09
