date,close,foreign_qty,organ_qty,indiv_qty,foreign_hold_pct
2026-04-22,1223000,-273549,-164240,429131,53.05
2026-04-23,1225000,-123488,-129744,251014,53.12
2026-04-24,1222000,-675246,99414,564000,53.01
2026-04-27,1292000,708461,388647,-1099289,53.1
2026-04-28,1300000,-310904,-13291,310133,53.04
2026-04-29,1293000,-419452,-14950,419688,52.92
2026-04-30,1286000,-19831,74538,-54467,53.0
2026-05-04,1447000,1229124,707441,-1894487,53.22
2026-05-06,1601000,117563,-127899,76027,53.23
2026-05-07,1654000,-1567838,292253,1260982,53.01
2026-05-08,1686000,-1074329,181374,874574,52.87
2026-05-11,1880000,-454579,26698,433679,52.78
2026-05-12,1835000,-1634593,-495350,2106911,52.51
2026-05-13,1976000,-917859,465314,461875,52.37
2026-05-14,1970000,-815209,-216196,998462,52.36
2026-05-15,1819000,-1391973,-497490,1855635,52.14
2026-05-18,1840000,-559756,267189,292885,52.06
2026-05-19,1745000,-1128221,-122347,1224285,51.87
2026-05-20,1745000,-704213,240569,447712,51.76
2026-05-21,1940000,-419491,738512,-337068,51.66
2026-05-22,1941000,-158042,152990,1150,51.61
2026-05-26,2052000,-108495,386967,-271309,51.62
2026-05-27,2243000,-18203,529897,-481602,51.65
2026-05-28,2289000,-784789,22893,725316,51.5
2026-05-29,2333000,-437330,-42513,473879,51.44
2026-06-01,2363000,-729059,859988,-125982,51.34
2026-06-02,2360000,-416517,90158,333746,51.3
2026-06-04,2298000,-316443,114049,186685,51.27
2026-06-05,2070000,-606860,-411774,963408,51.16
2026-06-08,1911000,-154732,-86029,215796,51.15
2026-06-09,2215000,-626165,854714,-241245,51.09
2026-06-10,2048000,-273910,-702023,947987,51.05
2026-06-11,2101000,260726,-513455,230341,51.1
2026-06-12,2150000,573440,-270178,-276904,51.19
2026-06-15,2288000,180233,165238,-337306,51.23
2026-06-16,2382000,351894,238957,-582133,51.29
2026-06-17,2521000,74908,341331,-399329,51.3
2026-06-18,2685000,25375,38559,-35111,51.31
2026-06-19,2764000,-317848,259188,74603,51.25
2026-06-22,2919000,-502831,419974,75039,51.15
2026-06-23,2555000,-937255,-925092,1858226,50.99
2026-06-24,2580000,-1407204,343532,1036807,50.78
2026-06-25,2917000,-113276,865177,-716876,50.77
2026-06-26,2673000,-847969,-1065176,1864496,50.63
2026-06-29,2628000,-1268744,276941,961633,50.44
2026-06-30,2650000,-602006,284306,307584,50.36
2026-07-01,2560000,-3130,-308954,301483,50.4
2026-07-02,2187000,-687600,-1372901,2005417,50.28
2026-07-03,2425000,-745377,1071876,-344055,50.17
2026-07-06,2343000,-27696,-584423,586434,50.17
2026-07-07,2201000,-542009,-23811,553638,50.06
2026-07-08,2076000,88312,-285353,178421,50.05
2026-07-09,2186000,-209485,404365,-179724,50.01
2026-07-10,2180000,-768843,204193,550090,49.87
2026-07-13,1845000,-704671,-781727,1440630,49.77
2026-07-14,1913000,664541,697670,-1357280,49.88
2026-07-15,2082000,331145,265930,-582862,52.44
2026-07-16,1842000,-469637,-628785,1067656,52.37
2026-07-20,1764000,331597,-527040,180897,52.4
2026-07-21,1836000,-237417,366154,-116422,52.39
2026-07-22,1830000,640418,-564978,-85833,52.5
2026-07-23,1919000,689697,-148136,-529529,52.6
2026-07-24,1759000,-976779,-483881,1431548,52.44
2026-07-27,1816000,-615917,231139,376010,52.39
2026-07-28,1550000,-1826337,388673,1414492,52.11
2026-07-29,1401000,-921877,791370,103198,50.77
2026-07-30,1322000,444498,-80151,-373392,50.86
2026-07-31,1718000,2205767,277183,-2463959,51.22
2026-08-03,1567000,-1107357,-288012,1368737,51.04
2026-08-04,1577000,-418552,18945,376403,50.95
2026-08-05,1668000,389804,-28260,-361605,51.03
2026-08-06,1495000,-1101883,-275040,1337421,50.84
2026-08-07,1422000,-56357,32908,198922,50.81
