date,close,foreign_qty,organ_qty,indiv_qty,foreign_hold_pct
2026-04-22,214000,11987,-89186,80227,37.76
2026-04-23,217500,-123387,-67754,193675,37.66
2026-04-24,214000,-134149,-66902,198744,37.55
2026-04-27,215000,-34382,-53836,96028,37.53
2026-04-28,219500,35909,10641,-55398,37.58
2026-04-29,220000,-150437,-63774,199905,37.46
2026-04-30,211000,-588379,-359790,940979,37.02
2026-05-04,209000,-167874,-239851,416285,36.92
2026-05-06,208000,-31244,-250826,283485,36.9
2026-05-07,207500,-20669,-32930,55070,36.91
2026-05-08,215000,195612,148461,-360609,37.12
2026-05-11,211500,964,-119720,125002,37.04
2026-05-12,204000,-70198,-55486,139954,36.98
2026-05-13,201500,-177362,-77389,237409,36.82
2026-05-14,213000,82862,33711,-112566,36.94
2026-05-15,203500,-167928,-5197,167902,37.03
2026-05-18,200000,-158858,-20039,173713,36.91
2026-05-19,198100,-259165,84921,162024,36.73
2026-05-20,191500,-38731,-94465,148486,36.69
2026-05-21,199500,66429,131000,-179663,36.77
2026-05-22,203000,-23672,55179,-76737,36.71
2026-05-26,200000,-102165,-59650,171000,36.64
2026-05-27,198800,93343,-121348,42956,36.77
2026-05-28,205000,-168305,88078,100610,36.71
2026-05-29,234000,161395,877348,-1061647,36.94
2026-06-01,271500,-1135272,633251,567534,35.95
2026-06-02,280500,-1517727,115597,1341130,35.0
2026-06-04,267500,-480144,119070,350165,34.69
2026-06-05,255500,-147900,135906,38690,34.62
2026-06-08,279000,325140,1427219,-1755605,34.92
2026-06-09,257000,-260772,-113937,366073,34.55
2026-06-10,227000,-41839,-272647,272418,34.51
2026-06-11,224000,-183804,114302,67102,34.4
2026-06-12,247000,654497,750508,-1388624,35.1
2026-06-15,248000,-69257,-19191,116599,34.92
2026-06-16,242000,22311,-158472,149380,34.91
2026-06-17,243500,142287,29639,-190875,35.01
2026-06-18,235000,197924,-149822,-39730,35.05
2026-06-19,229500,258445,94601,-339399,35.26
2026-06-22,222000,31170,-97871,65464,35.25
2026-06-23,202500,-57269,-205527,270841,35.14
2026-06-24,199400,-329671,-83669,370477,34.8
2026-06-25,199700,45550,-23810,-21207,34.84
2026-06-26,196400,-19524,94706,-78763,34.83
2026-06-29,204000,24837,72520,-98404,34.92
2026-06-30,199000,-93633,-101159,192011,34.66
2026-07-01,197400,102799,-81010,-25705,34.72
2026-07-02,199900,178765,152964,-329591,34.86
2026-07-03,195800,-54729,-98787,153675,34.79
2026-07-06,196600,-31457,-10147,35124,34.75
2026-07-07,197200,243601,67808,-305091,34.88
2026-07-08,192700,20172,-44857,22599,34.88
2026-07-09,184400,-19693,-73902,119780,34.83
2026-07-10,191300,192839,16049,-246692,35.0
2026-07-13,188000,45481,24025,-57126,35.01
2026-07-14,183200,53314,-4859,-58425,35.03
2026-07-15,189600,162875,-67672,-92419,35.16
2026-07-16,190000,163942,-79893,-86422,35.3
2026-07-20,185900,38542,36886,-73521,35.33
2026-07-21,193000,-46701,142534,-91515,35.31
2026-07-22,196900,49842,132663,-149535,35.38
2026-07-23,220000,-203232,675178,-491993,35.29
2026-07-24,207500,-169779,59167,93871,35.16
2026-07-27,225000,-543231,203174,321116,34.74
2026-07-28,210000,-137674,96822,41264,34.73
2026-07-29,201500,140475,163611,-277656,34.84
2026-07-30,194700,57712,-7641,-52064,34.88
2026-07-31,208000,26008,-38375,-21613,34.95
2026-08-03,207500,125762,-86285,-40503,35.04
2026-08-04,226500,165855,416637,-520098,35.12
2026-08-05,229000,90692,164321,-255291,35.16
2026-08-06,226000,47085,77134,-114468,35.18
2026-08-07,210000,-285777,-242821,516107,34.95
2026-08-10,211500,51534,-174592,126762,34.99
2026-08-11,214000,4785,55185,-63257,34.95
2026-08-12,215500,42070,-28814,-10428,35.02
2026-08-13,226500,198932,277776,-426339,35.28
2026-08-14,228000,32305,43561,-77051,35.27
2026-08-18,217000,-39093,-65560,104250,35.17
2026-08-19,208000,4210,-209734,202783,35.15
2026-08-20,219500,188436,74229,-259898,35.33
2026-08-21,222000,-21771,100510,-86780,35.32
