date,close,foreign_qty,organ_qty,indiv_qty,foreign_hold_pct
2026-04-22,217500,-1304307,-653920,1950044,49.16
2026-04-23,224500,3298847,677286,-3920976,49.24
2026-04-24,219500,-4887720,-66031,4827781,49.14
2026-04-27,224500,4504491,2050701,-6479795,49.25
2026-04-28,222000,-3066611,895779,2149031,49.19
2026-04-29,226000,2028533,1075301,-3034454,49.27
2026-04-30,220500,-840944,158634,617606,49.24
2026-05-04,232500,5214979,4335045,-9497468,49.37
2026-05-06,266000,11842188,-2222367,-9324089,49.61
2026-05-07,271500,-10344332,638888,9555243,49.4
2026-05-08,268500,-9595937,1074644,8324987,49.21
2026-05-11,285500,-7997922,1599184,6163844,49.07
2026-05-12,279000,-7824233,-78144,7805001,48.91
2026-05-13,284000,-5675844,1642009,3734208,48.83
2026-05-14,296000,757349,260989,-1040591,48.85
2026-05-15,270500,-8855741,-1529944,10257346,48.69
2026-05-18,281000,-4486093,2803397,1689597,48.61
2026-05-19,275500,-9263047,1418906,7818601,48.42
2026-05-20,276000,-5733354,2756787,2765915,48.33
2026-05-21,299500,3672423,2608486,-5931378,48.39
2026-05-22,292500,-3419695,-307631,3602972,48.32
2026-05-26,299000,1891734,1513469,-3263161,48.37
2026-05-27,307000,-274173,1550904,-1105685,48.39
2026-05-28,299500,-5173125,-1613562,6500347,48.29
2026-05-29,317000,-1061741,5314304,-4237361,48.29
2026-06-01,349000,-180865,3832695,-3173072,48.3
2026-06-02,360500,-11016912,3088203,7943201,48.07
2026-06-04,351500,-12414744,3253812,9000051,47.81
2026-06-05,329000,-4240844,-1446498,5414215,47.73
2026-06-08,295500,-1174306,-3937194,4830335,47.7
2026-06-09,322000,-1596173,1767022,-331618,47.68
2026-06-10,302500,-3840270,-2851841,6424717,47.61
2026-06-11,299000,549645,-5437840,4721925,47.58
2026-06-12,322500,2880306,3295009,-5933301,47.63
2026-06-15,337000,-1828940,531697,1306068,47.6
2026-06-16,343000,-27451,839414,-743977,47.6
2026-06-17,346500,-2000080,1133803,874426,47.57
2026-06-18,362500,2424675,1943262,-4166249,47.62
2026-06-19,354000,-2468914,-1380348,3872271,47.56
2026-06-22,353500,-1266729,-328401,1528227,47.52
2026-06-23,310000,-2251501,-4359775,6503234,47.43
2026-06-24,340500,-596340,2969153,-2337684,47.41
2026-06-25,358500,-1773490,3411480,-1686755,47.37
2026-06-26,339500,-5975701,-3593889,9298204,47.24
2026-06-29,323000,-11904952,2446957,9127270,47.01
2026-06-30,334000,-2627167,2731943,-97602,46.96
2026-07-01,314500,-3377992,-1855765,5183205,46.88
2026-07-02,286000,-5007053,-2166435,6951718,46.76
2026-07-03,309500,-1365575,4369649,-3029168,46.72
2026-07-06,318000,-2018562,14823,1917050,46.69
2026-07-07,296000,-6145090,-1852807,7870568,46.58
2026-07-08,277500,-3015093,971031,2031705,46.55
2026-07-09,278000,845552,1107761,-1739937,46.57
2026-07-10,285000,625985,2313745,-2851466,46.59
2026-07-13,254500,-716994,-3246131,4206987,46.58
2026-07-14,263000,-1128775,5326105,-4132630,46.58
2026-07-15,279500,1799843,-413531,-1363799,46.6
2026-07-16,255000,-826076,-4567849,5211886,46.56
2026-07-20,244000,1129083,-1468948,255913,46.59
2026-07-21,259000,1943936,1823763,-3654326,46.63
2026-07-22,260500,2136159,-1718094,-381003,46.71
2026-07-23,270000,1299490,-120579,-1181665,46.76
2026-07-24,249500,-3428259,-3378638,6675340,46.71
2026-07-27,254000,-3319368,487617,2801281,46.66
2026-07-28,220000,-6554668,-635592,7377129,46.54
2026-07-29,208500,-3550689,5971830,-2434946,46.5
2026-07-30,207000,656680,-237928,-413758,46.53
2026-07-31,262500,8359011,3618959,-11681307,46.68
